,ticker,company_name,marketcap_display,sell_side_rating,quant_rating,authors_rating,eps_revisions_category,growth_category,momentum_category,profitability_category,value_category,dividend_yield,is_top_tated
528,MTB,M&T Bank Corporation,24363378700,3.73913,4.255344418,3.5,7,7,4,4,7,3.5584753,FALSE
529,OSUR,"OraSure Technologies, Inc.",407798176,3.33333,4.091448931,,4,9,8,1,1,,FALSE
530,NTRS,Northern Trust Corporation,16991342600,3.0625,4.065320665,,5,7,6,6,10,3.6122818,FALSE
531,NNBR,"NN, Inc.",175120928,5,4.148456057,,6,5,1,11,5,,FALSE
532,ALKS,Alkermes plc,4062112260,3.75,4.200712589,4,3,2,8,1,2,,FALSE
533,CVLT,"Commvault Systems, Inc.",4484485100,3.88889,4.112826603,3,6,9,2,2,11,,FALSE
534,CBT,Cabot Corporation,5097408000,4,4.129453682,,4,5,3,3,8,1.7398869,FALSE
535,CSTL,"Castle Biosciences, Inc.",607467140,4.88889,4.181710214,,3,3,5,4,6,,FALSE
536,NEO,"NeoGenomics, Inc.",1782858500,4.25,4.283847981,3,2,7,8,4,10,,FALSE
537,AIZ,"Assurant, Inc.",9090869200,4.5,4.122327791,,4,8,4,5,10,2.026911,FALSE
538,AMRX,"Amneal Pharmaceuticals, Inc.",1888351870,3.8,4.20783848,,9,6,2,3,6,,FALSE
539,CINF,Cincinnati Financial Corporation,18364301300,3.55556,4.250593824,3.5,4,7,6,3,8,2.6086957,FALSE
540,OMI,"Owens & Minor, Inc.",1839126400,3,4.188836105,,8,6,3,3,1,,FALSE
541,PNNT,PennantPark Investment Corporation,459832736,3.55556,4.267220903,3.25,7,6,5,2,1,12.765958,FALSE
542,UVE,"Universal Insurance Holdings, Inc.",576619780,4,4.117577197,,6,7,2,7,2,3.19202,FALSE
644,VIV,Telefônica Brasil S.A.,15071245300,3.77778,3.834916865,5,5,2,6,2,5,2.849377,TRUE
544,TNK,Teekay Tankers Ltd.,1973583740,4.85714,4.098574822,4,5,9,4,3,3,1.7358098,FALSE
545,FSM,Fortuna Silver Mines Inc.,1443618050,3.6,4.262470309,4,7,4,2,6,4,,FALSE
546,ENLAY,Enel SpA,67185267000,3,4.233966746,4.33333,6,6,8,1,2,6.9131656,FALSE
547,SWI,SolarWinds Corporation,1861553150,3.25,4.096199525,4,4,9,6,3,5,,FALSE
548,OMER,Omeros Corporation,197010144,3,4.062945368,3.5,7,2,3,9,1,,FALSE
549,CVE,Cenovus Energy Inc.,38038700000,4.47368,4.23871734,5,8,5,4,3,8,2.049656,FALSE
550,NEE,"NextEra Energy, Inc.",1.40961E+11,4,4.290973872,3.75,4,4,3,3,11,2.7947822,FALSE
551,UBAB,"United Bancorporation of Alabama, Inc.",146877056,5,4.089073634,5,6,1,8,3,4,1.4457831,FALSE
552,VTLE,"Vital Energy, Inc.",1843507840,4.07692,4.157957245,4,9,7,7,10,1,,FALSE
553,PFIE,"Profire Energy, Inc.",84777720,4.5,4.195961995,,3,2,3,7,7,,FALSE
554,IVPAF,Ivanhoe Mines Ltd.,17207484400,4.25,4.212589074,,7,1,2,8,10,,FALSE
555,PBYI,"Puma Biotechnology, Inc.",238782304,3,4.279097387,,5,8,3,2,2,,FALSE
556,AAL,American Airlines Group Inc.,8909707300,3.73684,4.264845606,3.16667,6,1,9,4,3,,FALSE
557,CPG,Crescent Point Energy Corp.,5281278000,4.35714,4.257719715,4.66667,5,8,4,5,6,3.6341176,FALSE
558,LPG,Dorian LPG Ltd.,1668375550,3.6,4.226840855,3,5,2,2,3,5,,FALSE
559,AY,Atlantica Sustainable Infrastructure plc,2430047490,3.58333,4.119952494,4.33333,2,6,8,5,2,8.508604,FALSE
733,SMG,The Scotts Miracle-Gro Company,3868683260,3.8,3.815914489,3.5,6,3,6,4,4,3.8686986,TRUE
561,OCUL,"Ocular Therapeutix, Inc.",776726530,4.375,4.271971496,3.5,3,3,5,9,1,,FALSE
562,CYBR,CyberArk Software Ltd.,10034767900,4.70968,4.241092637,3.5,5,5,2,7,11,,FALSE
563,XENE,Xenon Pharmaceuticals Inc.,3206443520,4.72222,4.172209026,3,3,3,5,5,7,,FALSE
564,ACDVF,Air Canada,5344227300,4.3125,4.286223278,4,5,7,7,2,1,,FALSE
565,SUM,"Summit Materials, Inc.",6913012200,4.26667,4.060570071,3.5,3,4,5,7,10,,FALSE
566,TRU,TransUnion,14491410400,4.21053,4.224465558,,4,5,5,6,11,0.56292725,FALSE
567,TWLO,Twilio Inc.,10643714000,3.55882,4.134204276,3.25,4,4,7,7,4,,FALSE
568,VVV,Valvoline Inc.,5510089700,3.90909,4.153206651,4,3,5,3,1,11,,FALSE
569,CLGN,CollPlant Biotechnologies Ltd.,66197588,4,4.155581948,,2,6,7,5,7,,FALSE
570,REVG,"REV Group, Inc.",1136930560,4,4.07719715,4,9,4,1,3,3,0.91282517,FALSE
571,TRIN,Trinity Capital Inc.,723045630,4.5,4.081947743,3.625,9,1,7,2,1,13.460231,FALSE
572,BAND,Bandwidth Inc.,505850688,3.88889,4.150831354,3,5,4,1,8,10,,FALSE
573,EQH,"Equitable Holdings, Inc.",12649260000,4.18182,4.219714964,,7,6,1,3,10,2.2792022,FALSE
574,SMAR,Smartsheet Inc.,5297280000,4.36364,4.174584323,3.33333,3,3,9,6,8,,FALSE
575,KDP,Keurig Dr Pepper Inc.,45194846000,3.8,4.288598575,3,4,6,5,7,10,2.5344932,FALSE
576,SONO,"Sonos, Inc.",2089231490,4.42857,4.08432304,4,3,4,4,8,10,,FALSE
577,MGY,Magnolia Oil & Gas Corporation,5022512100,3.6875,4.160332542,4,4,8,5,3,10,1.9316795,FALSE
578,EQX,Equinox Gold Corp.,2110657280,3.9,4.110451306,2.5,3,3,5,11,9,,FALSE
579,CRLBF,Cresco Labs Inc.,965032510,4.61538,4.184085511,3,4,5,3,4,7,,FALSE
580,DOW,Dow Inc.,40244470000,3.25,4.24584323,4,4,6,7,2,4,4.892539,FALSE
581,IMVT,"Immunovant, Inc.",4143755520,4.73333,4.074821853,4,3,6,5,8,7,,FALSE
582,VERX,"Vertex, Inc.",4530803700,3.7,4.131828979,4,4,4,3,8,11,,FALSE
583,NRIX,"Nurix Therapeutics, Inc.",775872380,4.27273,4.214964371,3,6,8,2,8,9,,FALSE
584,HUMA,"Humacyte, Inc.",523971168,4.5,4.222090261,,5,3,2,10,5,,FALSE
585,CIFR,Cipher Mining Inc.,1074434820,4.42857,4.295724466,3.5,5,1,3,11,5,,FALSE
586,PTVE,Pactiv Evergreen Inc.,2726654720,4.28571,4.167458432,4,7,8,2,6,7,2.628121,FALSE
587,GRAB,Grab Holdings Limited,13728762900,4.77778,4.191211401,4.16667,5,8,7,8,9,,FALSE
588,HLMN,Hillman Solutions Corp.,1967672190,4.6,4.193586698,4,4,8,5,8,7,,FALSE
589,PHAR,Pharming Group N.V.,631708800,4.5,4.124703088,,2,6,8,3,8,,FALSE
590,TNL,Travel + Leisure Co.,3116492800,4.09091,4.10807601,,4,7,4,6,4,4.2305055,FALSE
591,GROY,Gold Royalty Corp.,294693184,3.85714,4.086698337,3,3,8,2,11,10,,FALSE
592,PATH,UiPath Inc.,10947796000,3.82609,4.217339667,3.625,3,3,6,5,11,,FALSE
593,ACT,"Enact Holdings, Inc.",4739890200,3.83333,4.274346793,,4,8,5,1,9,2.1333334,FALSE
594,MNDY,monday.com Ltd.,9293094900,4.25,4.248218527,3.6,4,2,4,4,10,,FALSE
595,SNPO,Snap One Holdings Corp.,811277820,3.14286,4.067695962,,3,8,3,8,8,,FALSE
596,DH,Definitive Healthcare Corp.,1094485250,3.69231,4.070071259,4,1,5,9,2,11,,FALSE
597,WEAV,"Weave Communications, Inc.",775815420,4.28571,4.100950119,4,4,6,2,10,7,,FALSE
598,TPG,TPG Inc.,15980459000,3.64286,4.169833729,3,7,1,1,3,10,3.0586624,FALSE
599,CRDO,Credo Technology Group Holding Ltd,2816763140,4.23077,4.210213777,3.66667,3,2,4,9,9,,FALSE
600,AEP,"American Electric Power Company, Inc.",46465782000,3.2,3.91567696,4,7,8,3,3,7,3.8797505,FALSE
601,CMS,CMS Energy Corporation,18167914500,3.94737,3.85391924,4,5,1,4,9,10,3.2503288,FALSE
602,ETR,Entergy Corporation,22815989800,4.15,3.979809976,3,5,9,3,5,5,4.1690035,FALSE
603,ES,Eversource Energy,21611792400,3.85714,3.889548694,4,4,7,7,11,6,4.446608,FALSE
604,SO,The Southern Company,81497563000,3.85714,3.872921615,3.5,9,9,3,2,9,3.7573805,FALSE
605,SRE,Sempra,45514699000,4.21053,3.901425178,3,4,3,8,3,9,3.342599,FALSE
606,ATO,Atmos Energy Corporation,17898639400,3.4,3.977434679,4,3,3,4,2,10,2.6040788,FALSE
607,SR,Spire Inc.,3573434110,3.44444,3.856294537,,4,4,5,9,4,4.7657514,FALSE
608,EXPE,"Expedia Group, Inc.",17637132300,3.69444,3.963182898,4,7,2,4,2,8,,FALSE
609,NEM,Newmont Corporation,46795366000,3.79167,3.877672209,3.9,6,7,8,10,8,3.5731888,FALSE
610,OMC,Omnicom Group Inc.,18339823600,4.07692,3.839667458,3,5,8,4,4,8,2.9898558,FALSE
611,CHKP,Check Point Software Technologies Ltd.,16819670000,3.56757,4.027315914,3.66667,5,9,6,1,9,,FALSE
612,TKC,Turkcell Iletisim Hizmetleri A.S.,5448135200,5,3.960807601,4,7,2,2,6,7,1.4478713,FALSE
613,DVN,Devon Energy Corporation,31885041700,3.96774,4.039192399,4.1,8,8,7,2,9,1.6269841,FALSE
614,AFL,Aflac Incorporated,48662266000,3.15385,3.880047506,3.33333,8,5,4,2,11,2.0811162,FALSE
615,URBN,"Urban Outfitters, Inc.",3591854340,3.2,4.024940618,3,4,3,4,6,4,,FALSE
616,FNF,"Fidelity National Financial, Inc.",13700164600,4,3.846793349,3,7,7,3,3,7,3.709613,FALSE
617,CIG,Companhia Energética de Minas Gerais - CEMIG,5691958300,4,3.951306413,4,6,2,7,3,1,,FALSE
618,GD,General Dynamics Corporation,78487159000,4.375,3.913301663,4,8,8,5,3,10,1.8776393,FALSE
619,CNI,Canadian National Railway Company,77183984000,3.36364,3.842042755,4,7,8,8,1,10,1.966633,FALSE
620,CPA,"Copa Holdings, S.A.",4104924930,4.57143,3.982185273,4.5,5,3,8,2,1,5.0231123,FALSE
621,HP,"Helmerich & Payne, Inc.",3772272130,3.35,3.991686461,,4,1,9,6,8,2.617116,FALSE
622,TDS,"Telephone and Data Systems, Inc.",1790912260,3.75,3.899049881,3.66667,5,9,2,9,3,4.7003155,FALSE
623,BFH,"Bread Financial Holdings, Inc.",1902097410,2.9375,4.022565321,4,9,8,3,5,1,2.1886399,FALSE
624,CX,"CEMEX, S.A.B. de C.V.",11597956100,4,3.849168646,3.5,8,2,6,2,2,,FALSE
625,CRNT,Ceragon Networks Ltd.,237224432,4.5,3.861045131,4,7,7,2,7,5,,FALSE
626,SPB,"Spectrum Brands Holdings, Inc.",2478639100,3.63636,3.998812352,4,5,2,4,2,7,2.051783,FALSE
627,CNX,CNX Resources Corporation,3513918210,3.18182,4.041567696,4,9,4,4,3,3,,FALSE
628,CMI,Cummins Inc.,38821687000,3.48,3.827790974,3.66667,9,5,5,2,7,2.3285306,FALSE
629,MUR,Murphy Oil Corporation,6740814300,3.77778,4.017814727,5,5,7,6,5,8,2.546401,FALSE
630,GES,"Guess?, Inc.",1388428420,3.33333,3.82304038,3.5,6,9,3,5,3,4.620716,FALSE
631,HON,Honeywell International Inc.,1.27177E+11,3.88462,3.830166271,4.25,8,6,8,1,10,2.1607783,FALSE
632,FSLR,"First Solar, Inc.",19005595600,4.35294,4.036817102,4.14286,7,2,5,9,3,,FALSE
633,RF,Regions Financial Corporation,17982169100,3.52,3.970308789,4,9,9,5,4,7,4.701073,FALSE
634,PFG,"Principal Financial Group, Inc.",18776725500,2.72727,4.053444181,2,5,6,7,4,9,3.3187225,FALSE
635,J,Jacobs Solutions Inc.,17991962600,4.16667,3.89192399,4,5,6,6,6,11,0.7472589,FALSE
636,TARO,Taro Pharmaceutical Industries Ltd.,1593212540,3,3.92280285,,6,1,4,3,2,,FALSE
637,AZPN,"Aspen Technology, Inc.",12403459100,3.66667,3.910926366,,5,3,6,3,9,,FALSE
638,ONB,Old National Bancorp,4920026600,3.85714,3.956057007,3,5,9,5,7,7,3.3392963,FALSE
639,OFG,OFG Bancorp,1732863870,4.5,4.008313539,,4,8,4,8,8,2.479564,FALSE
640,UEIC,Universal Electronics Inc.,141160704,3,3.95368171,,6,1,3,11,3,,FALSE
641,VSEC,VSE Corporation,1229181700,4.8,3.882422803,3,7,3,2,11,11,0.5152647,FALSE
642,PLXS,Plexus Corp.,2823293440,3.66667,4.048693587,,4,6,6,7,6,,FALSE
643,PNR,Pentair plc,13127567400,4.15,3.929928741,,5,8,5,4,11,1.138232,FALSE
47,UAL,"United Airlines Holdings, Inc.",16660469800,4.28571,4.897590361,4.2,3,2,5,1,1,,TRUE
645,SRCL,"Stericycle, Inc.",4110389500,3.75,3.958432304,4,3,8,9,10,8,,FALSE
646,CHCO,City Holding Company,1541503490,3,4.003562945,,4,8,7,8,10,2.688017,FALSE
647,AVNT,Avient Corporation,3922134530,4.375,3.903800475,4,3,8,5,7,11,2.3499303,FALSE
648,CLDX,"Celldex Therapeutics, Inc.",2593580030,4.625,3.920427553,,5,5,4,6,9,,FALSE
649,BYDDF,BYD Company Limited,86138724000,4.5,3.825415677,3.625,5,6,6,1,10,0.58275986,FALSE
650,BDRBF,Bombardier Inc.,4791669800,3.64706,3.98456057,5,8,1,4,8,4,,FALSE
651,PRIM,Primoris Services Corporation,2453596930,4.4,3.918052257,5,8,9,1,9,9,0.5244755,FALSE
652,QNST,"QuinStreet, Inc.",981991100,4.16667,3.975059382,,9,7,1,11,11,,FALSE
653,HTHT,H World Group Limited,11764148200,4.76471,3.8847981,3,4,1,6,2,11,,FALSE
654,SANG,Sangoma Technologies Corporation,145696192,4.8,3.925178147,,6,8,2,8,3,,FALSE
655,COTY,Coty Inc.,10106457100,3.95238,3.837292162,3,5,4,7,9,10,,FALSE
656,MARA,"Marathon Digital Holdings, Inc.",4385897000,3.45455,3.946555819,3.22222,7,3,3,10,5,,FALSE
657,CANF,Can-Fite BioPharma Ltd.,10410350,4.5,4.034441805,,1,9,7,10,6,,FALSE
658,PTCT,"PTC Therapeutics, Inc.",2619962110,3.28571,3.832541568,3,5,2,4,5,10,,FALSE
659,GLYC,"GlycoMimetics, Inc.",104409624,4.66667,3.896674584,5,3,2,8,9,9,,FALSE
660,ARMK,Aramark,8175435800,4.25,4.058194774,,3,9,7,7,9,1.1265191,FALSE
661,RMNI,"Rimini Street, Inc.",249477696,3.75,3.870546318,5,4,5,9,1,1,,FALSE
662,NOMD,Nomad Foods Limited,2933826560,4.66667,4.020190024,3.5,4,9,5,8,8,0.83194673,FALSE
663,LFWD,ReWalk Robotics Ltd.,40361504,4,4.001187648,,1,2,8,8,2,,FALSE
664,ANAB,"AnaptysBio, Inc.",710831100,4.36364,3.894299287,,5,3,4,6,8,,FALSE
665,HRI,Herc Holdings Inc.,4096705790,3.77778,3.844418052,4,5,2,5,7,5,1.7744616,FALSE
666,EVBG,"Everbridge, Inc.",1442073600,3,3.948931116,,9,2,2,5,8,,FALSE
667,CODX,"Co-Diagnostics, Inc.",37199004,3,4.032066508,,1,9,7,10,3,,FALSE
668,AGS,"PlayAGS, Inc.",347402528,4.83333,3.887173397,,3,7,3,9,9,,FALSE
669,VYNE,VYNE Therapeutics Inc.,35670184,4.66667,3.863420428,,1,2,8,9,3,,FALSE
670,AHCO,AdaptHealth Corp.,1347364740,4,3.996437055,,5,4,5,3,1,,FALSE
671,AMAL,Amalgamated Financial Corp.,759098560,4,3.937054632,4,5,6,3,8,9,1.607717,FALSE
672,ELAN,Elanco Animal Health Incorporated,6482555400,3.875,4.010688836,3,5,6,4,3,11,,FALSE
673,ARVN,"Arvinas, Inc.",2218657020,4.55,3.908551069,3.5,3,9,4,11,8,,FALSE
674,FTDR,"Frontdoor, Inc.",2398994940,3.625,3.939429929,,3,4,7,2,8,,FALSE
675,REZI,"Resideo Technologies, Inc.",2816633600,3.25,4.013064133,4,4,8,6,7,3,,FALSE
676,RAMP,"LiveRamp Holdings, Inc.",2137072640,4.625,3.986935867,3.66667,4,4,6,5,9,,FALSE
677,FUTU,Futu Holdings Limited,8840854500,4.52941,4.029691211,3,7,2,2,11,7,,FALSE
678,TIGO,Millicom International Cellular S.A.,3526875650,4.14286,3.927553444,,8,5,2,6,4,,FALSE
679,FDMT,"4D Molecular Therapeutics, Inc.",1298888190,4.5,4.04631829,4.5,6,8,2,10,8,,FALSE
680,RVMD,"Revolution Medicines, Inc.",6618544100,4.64286,4.01543943,3,9,3,2,6,10,,FALSE
681,ELVN,"Enliven Therapeutics, Inc.",847177340,5,4.043942993,2,3,3,5,8,5,,FALSE
682,AUOTY,AUO Corporation,4221154820,3,3.965558195,,6,5,8,9,1,15.388641,FALSE
683,JUSHF,Jushi Holdings Inc.,141792112,4.42857,4.051068884,,9,3,3,5,8,,FALSE
684,BITF,Bitfarms Ltd.,678898880,4.71429,4.005938242,3.5,9,1,4,11,3,,FALSE
685,GBIO,Generation Bio Co.,193483520,4,3.865795724,2,5,9,3,6,7,,FALSE
686,CCCS,CCC Intelligent Solutions Holdings Inc.,6483863600,4.26667,3.858669834,4,4,7,7,4,10,,FALSE
687,MEG,"Montrose Environmental Group, Inc.",1468692100,4.42857,3.868171021,,8,3,2,10,9,,FALSE
688,MIR,"Mirion Technologies, Inc.",2118459520,4.33333,3.967933492,,5,7,3,6,8,,FALSE
689,SPRY,"ARS Pharmaceuticals, Inc.",904024700,5,3.934679335,,8,5,2,11,9,,FALSE
690,CMPO,"CompoSecure, Inc.",565699780,4.4,3.932304038,,5,6,4,1,1,,FALSE
691,ETWO,"E2open Parent Holdings, Inc.",1641474180,3,3.944180523,3,4,9,4,9,6,,FALSE
692,GCMG,GCM Grosvenor Inc.,1784687740,4,3.972684086,,7,2,4,6,4,4.616999,FALSE
693,KRT,Karat Packaging Inc.,545436160,5,3.906175772,,6,8,2,5,7,2.1969974,FALSE
694,OGN,Organon & Co.,4842561000,3.44444,3.875296912,4,9,8,6,2,1,5.9479556,FALSE
695,TIMB,TIM S.A.,8211004900,3.77778,3.851543943,,6,2,4,3,5,3.0694432,FALSE
696,TOI,"The Oncology Institute, Inc.",83231008,5,4.055819477,,2,7,7,5,2,,FALSE
697,ACLX,"Arcellx, Inc.",2780688640,4.66667,3.941805226,,9,1,4,4,11,,FALSE
698,GPCR,Structure Therapeutics Inc.,1833049730,4.625,3.994061758,,9,1,7,6,5,,FALSE
699,AESI,Atlas Energy Solutions Inc.,2413415420,4.6,3.989311164,3.5,8,1,4,10,9,3.0040965,FALSE
700,DTE,DTE Energy Company,23038322700,4.05556,3.763657957,4,5,8,4,5,8,3.5435193,FALSE
701,NI,NiSource Inc.,12594078700,4.53846,3.735154394,3.5,4,7,4,10,8,3.6654804,FALSE
702,PEG,Public Service Enterprise Group Incorporated,34806329000,3.6,3.756532067,,9,8,2,4,11,3.3089814,FALSE
703,CTSH,Cognizant Technology Solutions Corporation,32543934500,3.3,3.685273159,3,6,9,8,3,7,1.7898118,FALSE
704,NTES,"NetEase, Inc.",60595298000,4.70968,3.806413302,3.66667,5,6,8,2,9,2.7279835,FALSE
705,BIDU,"Baidu, Inc.",36580065000,4.51351,3.716152019,4.1,8,5,8,2,4,,FALSE
706,FFIV,"F5, Inc.",9765431300,2.93333,3.642517815,3,6,7,7,2,7,,FALSE
707,ACN,Accenture plc,1.87776E+11,3.96429,3.609263658,3.5,9,8,8,1,11,1.6707963,FALSE
708,GFI,Gold Fields Limited,14909153300,3,3.718527316,3.5,5,2,6,3,9,2.3986027,FALSE
709,GLW,Corning Incorporated,27420119000,3.64286,3.801662708,4,6,9,6,4,8,3.3452806,FALSE
710,BBWI,"Bath & Body Works, Inc.",9857214500,3.80952,3.782660333,3.5,7,9,3,3,9,1.8252338,FALSE
711,LOGI,Logitech International S.A.,12159867900,3.18182,3.739904988,3,5,9,6,2,10,1.470953,FALSE
712,RHHBY,Roche Holding AG,1.95248E+11,3.5,3.749406176,4.25,9,7,9,1,5,4.5357323,FALSE
713,MGM,MGM Resorts International,12601373700,4.36364,3.699524941,4,4,7,8,4,8,,FALSE
714,ODP,The ODP Corporation,1862058110,4.33333,3.640142518,4,6,5,5,7,3,,FALSE
715,HOG,"Harley-Davidson, Inc.",4624953300,3.82353,3.704275534,3.5,4,9,6,3,6,1.9415358,FALSE
716,MAT,"Mattel, Inc.",6220593200,4.25,3.656769596,4,4,8,8,3,8,,FALSE
717,GNTX,Gentex Corporation,7855650800,3.9,3.59976247,3,4,5,5,3,11,1.4134276,FALSE
718,MDLZ,"Mondelez International, Inc.",94820671000,4.48,3.652019002,3.25,9,6,9,2,11,2.3482811,FALSE
719,USM,United States Cellular Corporation,3098509820,3.125,3.775534442,4,5,5,2,8,9,,FALSE
720,OSIS,"OSI Systems, Inc.",2234573570,4.5,3.751781473,,5,6,5,6,7,,FALSE
721,VECO,Veeco Instruments Inc.,1947851650,4.33333,3.590261283,3,9,7,2,8,8,,FALSE
722,SYY,Sysco Corporation,36446458000,3.84211,3.597387173,4,8,6,8,3,7,2.737851,FALSE
723,TEX,Terex Corporation,3753993980,3.2,3.663895487,3.5,5,5,8,4,3,1.1832198,FALSE
724,HRB,"H&R Block, Inc.",6655136300,3.5,3.680522565,4,7,6,3,2,8,2.6205451,FALSE
725,KOP,Koppers Holdings Inc.,1108006270,5,3.673396675,3,5,7,3,7,10,0.47755492,FALSE
726,MOH,"Molina Healthcare, Inc.",19857782800,3.6,3.69239905,4,8,5,6,2,6,,FALSE
727,KELYA,"Kelly Services, Inc.",824840130,4,3.789786223,,8,5,4,10,3,1.2842466,FALSE
728,SKX,"Skechers U.S.A., Inc.",10220705800,4.4,3.728028504,3.5,8,3,3,4,7,,FALSE
729,EMN,Eastman Chemical Company,11143653400,3.80952,3.76128266,3,8,6,5,4,6,3.3769524,FALSE
730,GT,The Goodyear Tire & Rubber Company,3389857020,3.77778,3.725653207,4.66667,7,1,9,9,1,,FALSE
731,JCI,Johnson Controls International plc,40737161000,3.79167,3.711401425,3,7,9,7,5,9,2.4474945,FALSE
732,KRON,"Kronos Bio, Inc.",61897240,4.33333,3.796912114,,2,8,8,8,3,,FALSE
470,VYGR,"Voyager Therapeutics, Inc.",454686496,4.7,4.476247031,4,6,2,5,1,1,,TRUE
734,UPBD,"Upbound Group, Inc.",1726424700,4.28571,3.621140143,,7,1,6,3,4,4.4908285,FALSE
735,GTLS,"Chart Industries, Inc.",5984930300,4.4,3.747030879,4.5,7,2,6,1,8,,FALSE
736,IMBBY,Imperial Brands PLC,19604590600,4,3.799287411,3,6,4,8,2,1,7.9817877,FALSE
737,TTMI,"TTM Technologies, Inc.",1503219200,4.25,3.770783848,,7,8,5,7,2,,FALSE
738,LYTS,LSI Industries Inc.,413371648,4.66667,3.720902613,4,5,3,7,6,7,1.3586956,FALSE
739,CCOI,"Cogent Communications Holdings, Inc.",3100695300,3.63636,3.75415677,,8,6,7,1,2,5.8551617,FALSE
740,POR,Portland General Electric Company,4525133800,4,3.811163895,4,4,1,8,11,5,4.3260474,FALSE
741,GPC,Genuine Parts Company,21837848600,3.46667,3.744655582,4,5,7,5,4,10,2.455827,FALSE
742,SKY,Skyline Champion Corporation,4345374700,3.28571,3.766033254,3,4,6,4,6,10,,FALSE
743,HOLI,Hollysys Automation Technologies Ltd.,1460494080,4,3.644893112,,6,5,4,6,4,,FALSE
744,INFN,Infinera Corporation,1154797700,3.8,3.637767221,,5,5,5,8,6,,FALSE
745,BECN,"Beacon Roofing Supply, Inc.",6163679200,4,3.668646081,3.5,9,8,3,6,5,,FALSE
746,GVA,Granite Construction Incorporated,2427867390,4.25,3.758907363,4,7,4,3,10,10,0.9456265,FALSE
747,SPR,"Spirit AeroSystems Holdings, Inc.",3727338750,4,3.649643705,3,8,1,5,11,7,,FALSE
748,GIL,Gildan Activewear Inc.,5847334400,3.93333,3.628266033,3.5,6,9,5,4,8,2.2058399,FALSE
749,MATV,"Mativ Holdings, Inc.",977405060,4,3.777909739,,6,6,3,9,7,3.8888888,FALSE
750,CE,Celanese Corporation,17229850600,3.27273,3.7304038,3,8,9,3,3,8,1.8130019,FALSE
751,HCSG,"Healthcare Services Group, Inc.",783598210,3.6,3.671021378,,4,4,9,9,5,,FALSE
752,MAG,MAG Silver Corp.,1280866300,4.23077,3.79216152,4,7,2,4,1,10,,FALSE
753,CREX,"Creative Realities, Inc.",34056108,4.5,3.616389549,5,5,4,2,9,7,,FALSE
754,IMNN,"Imunon, Inc.",12313723,4.5,3.808788599,,7,6,2,10,4,,FALSE
755,MG,"Mistras Group, Inc.",279446496,5,3.820665083,,8,2,3,10,3,,FALSE
756,ENV,"Envestnet, Inc.",3419537150,3.54545,3.697149644,4,6,5,3,9,9,,FALSE
757,LCTX,"Lineage Cell Therapeutics, Inc.",213341904,4.33333,3.813539192,,3,5,6,9,8,,FALSE
758,AGRO,Adecoagro S.A.,1151219710,3.71429,3.773159145,,6,8,4,6,2,3.0153599,FALSE
759,HII,"Huntington Ingalls Industries, Inc.",10973933600,3.38462,3.706650831,3.83333,7,9,5,6,8,1.8335378,FALSE
760,VRNT,Verint Systems Inc.,1903732220,3.85714,3.59263658,,5,9,6,6,10,,FALSE
761,BTGOF,BT Group plc,12679700500,5,3.818289786,4,5,6,8,2,1,7.259259,FALSE
762,AL,Air Lease Corporation,5600621600,4.28571,3.694774347,3.33333,8,9,4,9,4,1.6305429,FALSE
763,MRC,MRC Global Inc.,948350210,4.66667,3.63064133,4,6,4,8,7,2,,FALSE
764,YY,JOYY Inc.,1960547330,4.4,3.675771971,3,5,9,7,8,3,,FALSE
765,NCLH,Norwegian Cruise Line Holdings Ltd.,6898735100,3.56522,3.587885986,4.25,4,3,7,4,7,,FALSE
766,TH,Target Hospitality Corp.,1106608130,3.66667,3.633016627,,4,7,7,3,3,,FALSE
767,VLRS,"Controladora Vuela Compañía de Aviación, S.A.B. de C.V.",957097090,4.53846,3.709026128,4,5,5,9,4,1,,FALSE
768,RNG,"RingCentral, Inc.",2776912640,3.73077,3.72327791,3.33333,5,4,8,6,3,,FALSE
769,ALLE,Allegion plc,10585570300,3.33333,3.595011876,,5,9,7,3,10,1.5116471,FALSE
770,GRBK,"Green Brick Partners, Inc.",2475929340,3,3.780285036,4,5,3,4,3,5,,FALSE
771,ENVA,"Enova International, Inc.",1655656190,4,3.785035629,,9,5,2,6,2,,FALSE
772,QSR,Restaurant Brands International Inc.,32947388400,4.06452,3.614014252,3,7,2,7,3,11,3.045616,FALSE
773,RRR,"Red Rock Resorts, Inc.",5620969000,4.06667,3.611638955,4,4,6,4,8,10,1.8709074,FALSE
774,CRSP,CRISPR Therapeutics AG,4567559200,3.68966,3.666270784,4.16667,5,2,7,7,9,,FALSE
775,HGV,Hilton Grand Vacations Inc.,4369952800,4.33333,3.647268409,3,4,7,6,8,7,,FALSE
776,CAAP,Corporación América Airports S.A.,2736516860,4.25,3.713776722,4,9,3,3,3,4,,FALSE
777,ACEL,"Accel Entertainment, Inc.",910640830,5,3.742280285,4,4,7,5,7,7,,FALSE
778,AUTL,Autolus Therapeutics plc,1063705220,4.5,3.602137767,4,5,7,4,9,10,,FALSE
779,OPRA,Opera Limited,1121596030,4.83333,3.701900238,3.875,7,2,7,1,2,6.3091483,FALSE
780,INMB,"INmune Bio, Inc.",229227424,5,3.635391924,5,7,8,3,9,9,,FALSE
781,CCEP,Coca-Cola Europacific Partners PLC,33151889400,4.42857,3.804038005,4,7,6,4,4,9,2.7992737,FALSE
